"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
"delavci).  "
"- Od 1. 1. 2013 se ne upoštevajo osebe, ki so dalj èasa odsotne "
"zaradi bolezni (dolgotrajna bolniška odsotnost), in sicer nad 30 "
"delovnih dni.  "
"Take bolniške odsotnosti namreè ne bremenijo veè delodajalca, ampak  "
"Zavod za zdravstveno zavarovanje Slovenije (povpreèno okoli 15.000 "
"oseb)."

"Povezave: "
"- (seznam HREF=http://www.stat.si/doc/metod_pojasnila/07-146-MP.htm "
"target=_blank) Metodološka pojasnila "
"- (seznam "
"HREF=http://www.stat.si/koledar.asp?pod=7&kon=146&DatumOd=1.1.2005&Da-"
"tumDo=Date() target=_blank) Koledar objav "

" "
"Velikost se doloèa glede na število zasedenih delovnih mest.  "
"V obdobju od 2001Q1 do 2014Q4 se je velikost izraèunavala na ravni "
"enote v sestavi: "
"-  SKUPAJ   Zajeti  so vsi deli poslovnih subjektov oz. poslovni "
"subjekti v celoti (èe nimajo podrejene enote), pri katerih je "
"zaposlena vsaj ena oseba. "
" - 10+   Zajeti so vsi deli poslovnih subjektov oz. poslovni subjekti "
"v celoti (èe nimajo podrejene enote), pri katerih je zaposlenih vsaj "
"10 oseb. "
" "
"V obdobju od 2015Q1 dalje pa se velikost izraèunava na ravni "
"celotnega poslovnega subjekta in ne veè na ravni enote v sestavi (èe "
"imajo podrejene enote). "

" "
"1. èetrtletje 2015: prelom v èasovni vrsti podatkov. S tem "
"èetrtletjem je "
